prof,gender,class,class_abrev,review_grade,review_text
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A," Professor Smith must be among the worst teachers I have ever had in my entire academic career, and probably THE WORST professor I have had at UCLA so far.  The way she conducts a class is not conducive to a good learning environment.  Her lectures are incredibly dry and uninformative.  She mentions many obscure names yet does not write much information up on the overheads, and then expects you to recognize and memorize them for the midterm and final.   In addition, she speaks to the class as if we are children.  She repeats the same SIMPLE concepts, much of which are just plain common sense, over and over again, and even has us fill in the blanks for her.  Also, when she feels a bit more expressive, she uses this voice to sound more dignified \361 \354I am Hammurabi!!!\356 \361 and continues to aggravate and irritate the students even more.  By this time, if you have maintained your sanity and have not left her classroom, you begin to dose off because you realize that you are learning absolutely nothing and should have just read the book instead.  Furthermore, her tests do not seem to cover many of the overreaching concepts of the class and only focused on ludicrous detail.  Moreover, she thought that a good studying technique would have been to \354use your syllabus.\356  Well, thank you Professor Smith, that really narrows it down.  She also grades the essays really harshly; she says \354summarize the article\356 in the prompt and then marks you down for summarizing!  You better hope that one of the TAs grades your\355s! Also, Professor Smith refuses to give the TAs too much information about the tests beforehand, making it incredibly difficult for them to prepare the students for the exam.  Although most of my learning occurred in the discussions, I still feel that the sections could have been designed to be more conducive to the \354material\356 presented in lectures. She has made the class so unenjoyable that I have started to hate everything about the it, even the classroom; walking by Fowler Museum sends shivers down my spine.  DO NOT TAKE THIS CLASS IF YOU ARE LOOKING FOR AN EASY GE!  Only take it with Professor Smith if you absolutely have to.  And don\355t let the course description mislead you; you do not actually get to go to a dig site!  "
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A," Dr. Smith's lectures are generally interesting and super easy to follow. Pay attention, take good notes, you will be tested on EVERYTHING. Her anth 8 class is pretty difficult. She claims there is no curve, but then offers extra credit. I got a C+ on the midterm, studied like I've never studied before and ended up with an A+ in the class (as did many other people I spoke with). I think the key to her class is talking to her and your TA on a regular basis. They are ALWAYS available. Also- talk to each of the four TAs, you never know who will grade your paper. She told me herself that they look at each person individually and assign them a grade at the end of the quarter. If they know you are trying they will help you out. Make sure to memorize everything. She tests on the very very specific and of course everything you decided wasn't important enough to waste time studying, ie dates, dates of dating techniques, locations of fossil artifacts... You are not given nearly enough time for the midterm, so if time gets close use bullets (they won't tell you beforehand but the people that did that got full credit). Also- be very specific in your essay answers, include dates and brain sizes and locations.  This is not an easy A GE course. Take it if you need it for the major. It's enjoyable if you keep up."
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A,"DO NOT TAKE HER... UNLESS YOU WANT TO SUFFER! Although it was an interesting class from which I learned an emmence amount of material I think that her grading on the tests was not fair at all. Her questions were not clear and the grade you recieve on the tests are basically determined by which T.A you have. Save yourself the heartbreak of getting a horrible grade despite your hard work! To her credit however, she was willing to regrade and add a few points here and there but it was not worth all the trouble!"
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A,"DO NOT TAKE THIS CLASS!!!!  Although it seems like an easy GE, keep in mind that the class is NOT curved and the professor and the TA's massacre your essay.  Your success in the midterm and final depend on your memorization skills.  So unless you live and breathe anthropology, stay away from this class."
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A,"Prof. Smith is a tough but fair grader. Her grading scheme was very nit picky, but she tells you exactly what she's looking for (with the exception of some vague short answer questions on the midterm). As long as you follow her formatting and answer all the questions on the guided research papers (30% of your grade) you'll do well. As for the midterm/final, be sure to be detailed in your short answer (e.g. if it's worth 8 points each, you better put down 8 factoids). As for lectures, Prof. Smith's soothing voice made it hard to stay awake sometimes, but her lectures were very organized and she always provides you with a summary of her previous lecture. Overall, the course covered a broad amount of material, but Smith's organized approach makes the class a good intro course."
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A,"Anthro 8 was a nice introductory class. Sure, the material did not go in-depth, but that's expected of a class that covers several million years of pre-history. Sometimes the lectures can be a bit hard to stay awake through, but it's not that bad. The only real downside of her course were the midterm and final -- the multiple choice and fill-in-the blank portions covered varying specifics that could be easily skipped over when studying. The long-answer portion of her tests are pretty harshly graded, you need to make sure you write down every possible thing you remember about the subject. The guide research papers are straightforward, and are fairly graded. There's a lot of memorization involved, so if you want a supremely easy GE you might want to look elsewhere."
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A,"I would not recommend this class to others. I personally hated it. The material covered in this class is way too broad-- from several million years ago until now. There was so much material packed into this one course that it was not possible to fully appreciate each society and to go more indepth into it. You basically just have to memorize many things about MANY different things. Her exams (a combination of multiple choice, fill-in-the-balnk, and short answer questions) consisted of some really trivial multiple choice and fill-in-the-blank questions. She also grades the short answer part of her exams in a very detailed manner so that full marks are difficult to achive. The one part of her class that was relatively simple were the term papers. In addition, her lectures are really boring...so much that I would fall asleep. If you need to fulfill a GE, there are many less painful, less frustrating, and less boring ways of fulfilling it."
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A,"I was a first quarter freshman looking for an easy GE, anthro 8 was my answer. The class is about as interesting as a class can get and prof Smith is about as interesting as a teacher as youll get. She has an awesome voice and is a happy woman as far as I can tell and that rubs off a lot on her class lectures, which are interesting enough that I never fell asleep in them. There is reading, but very minimal, two papers a quarter which are ""guided"" [that means half the research is done for you], and an easy midterm/final if you take halfway decent notes. If you want a good class thats also kick back, anthro 8 with smith is for you."
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A,"Monica Smith was a great class for introuductory purposes. Very well structured, very well organized. I did learn lots in this class. However, I do know that this is a hit and miss kind of thing. A lot of people HATED this class, for one reason or another. It could be a little difficult to try and keep up with some of the boring material... but what are you expecting? Her paper was relatively easy and broad. However, I heard that when she graded papers, she tore them apart... She generally splits papers with her TAs, it's random... The final and midterm aren't too hard. A lot of memorizing. Good class though."
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A,"Prof Smith's lectures were fairly somewhat slow.  It's amazing that she could talk the entire lecture period and not say all that much.  That said, I found much of the material interesting, but often very repetitive.  I guess that's sort of the nature of the beast when you take lower div classes - their generality leads to heavy repetition.  I actually did not do as well as I thought I would in the class, although the effort I put in was fairly minimal.  Not a bad teacher for a GE course, but if Anthro is your major you might look for a bigger challenge."
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A,"Dr.Smith made extra office hours in the dorms.. she is very concerned and I truly loved her lectures.  Her test are very fair despite a few meaningless and trivial multiple choice questions, but otherwise, her class is enjoyable and the work pace is very manageable."
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A,"I feel asleep in every class but managed to get a B+.  It did help that I had prior knowledge from taking Anthro 7.  Also my TA was extremely lenient and easy. Monica, I heard from others, is a difficult grader with the essays."
Monica L Smith,NA,Archaeology: Introduction,ANTHRO 8,N/A," Dr. Smith treats her students as though they are in elementary school, by asking incredibly simple questions multiple times in lecture then waiting through extended periods of silence for answers.  This awkward tactic begins to grate against your nerves by 2nd week and will fully drive you towards insanity by 10th week.  Furthermore, she is the most unyielding, unflexible professor I have ever had at UCLA, as she refuses to consider earnest personal issues that hinder academic performance.  Take her class only if you have the ability to space out for extended periods of time (to avoid the annoyance of the question-silence periods) and plan to never speak with her. This is hardly a bitter post- my grade in the class was an A+- but rather an honest summary of my Anthropology 8 experience.  I, an Anthropology major, refuse to take a class with Dr. Smith again."
Monica L Smith,NA,Fiat Lux Freshman Seminars,ANTHRO 19,F," I really liked my fiat lux (food and culture during pandemics) with Professor Smith. She is really nice, funny, and wholesome, and she always makes an effort to include everyone. The class involves a weekly reading that usually ranges from 4-20 pages (most are between 4-7). They're really interesting, and you definitely don't need to retain all of the information - just an elementary summary understanding will suffice.  Then, in class, she always starts with an intro question like your favorite staple cooking ingredient and goes around the room to share. You will participate in this class, but it's not intimidating at all! She's super understanding and approachable. After the intro question, you just discuss the reading and any current events for the remainder of the 50 minutes. She ends class punctually and sometimes will send additional articles she thinks are cool throughout the week afterwards. Overall, Prof. Smith is an AMAZING anthropologist with lots of cool stories. If you ask her about her experiences, she'll recount some really interesting projects and things she's learned (ask about Asia!). Prof. Smith is also very understanding of mental health and zoom exhaustion. She lets you miss 2 classes and even spent some time on the day before the election talking about mental health resources for us. I would definitely recommend taking the seminar if you want an interesting, low stress class, and take advantage of the discussion time you have!!"
Monica L Smith,NA,Fiat Lux Freshman Seminars,ANTHRO 19,N/A,It was a pretty laid back fiat lux since your grade is just based on class attendance.  Some of the readings were interesting while others were a bore.  Professor Smith is nice although she's not the best discussion facilitator.
Monica L Smith,NA,Cities Past and Present,ANTHRO 112R,N/A,"Cities Past and Present was the best class I have ever taken at UCLA. She is so chill. There were 20 people in the class and we sat around each day and talked about cities- what we thought of them, how they made us feel, why people moved into and out of them, etc etc. We only had two small ethnographies to write, a two question midterm, and a final paper (plus three 10pt, 1 page ec summary papers that would bump your entire grade up by a whole letter grade). The reading was very interesting and the discussions were great. We all laughed a lot and shared our personal feelings. She has a great way of sparking converstaion and asking you to look deeper. Keep in mind, classes are laidback but you still have to do the reading for the exam. Not intensively, but you MUST cite author's names and fieldsites to support your arguments (which she gives to you- along with a study guide). I got an A+ and it's almost impossible not to. One day Prof Smith even brought in Japanese HipHop for us to listen to. Great Professor and very nice lady!"
Monica L Smith,NA,Cities Past and Present,ANTHRO 112R,A+," Dr. Smith is by far the most engaging lecturer I've ever seen. I took it asynchronous so all the lectures were uploaded. Her lectures are so fun and interesting, and she always relates it to current/modern life. As with a lot of anthro classes, she uploads PDF articles on CCLE. Every class day you have 1 reading (except for one week where we had 2 per day). Also, she worked super hard to find really up to date material. We had quite a few readings from 2020-2021 so it was relatable. The grading was 4 essays at 20% each and discussion participation which was another 20%. She offered a no harm extra credit paper half way through. The final was also like a no harm paper, and it was optional, so it's really easy to get a good grade. At the worst, you could write 6 essays, but it's worth the bump. They're 750 words per paper however, so you have to have all your info in a compact space. The TA did the grading and the first paper was pretty harshly critiqued, I got 75% on it, but on the rest I got 95-100%. They were graded so harshly the first time so we know what they expect from us. It may be jarring but I think it's worth it, especially with essentially 2 extra credit opportunities. The discussions were always a fun and interesting conversation as well. Though she did say this class doesn't usually have a discussion section, so I don't know how well this may relate to future classes. Overall, I highly highly recommend this class and Dr. Smith in general. She is an amazing person, professor, and academic. Every reading we had was incredibly interesting and her corresponding lectures were amazing. I cannot recommend this enough!!"
Monica L Smith,NA,Historical Archaeology: American Perspective,ANTHRO M115B,N/A," Pros:*Intelligent*Funny*Very well-organized lectures and good use of slides*Well balanced workload*Extremely straightforward tests Cons:*In upper-divs, expects you to know a lot*In lower-divs, assignments are repetitive Overall: Worth taking her classes. She puts in a lot of effort, has a lot of time in office hours "
Monica L Smith,NA,Archaeology of South Asia,ANTHRO 116,A,This is my second class with Professor Smith and I love her classes. This class was more entertaining than her other classes because she is very passionate about this region of the world. There are no tests but there is a project and three essays for both midterm and the final where you have 3 and 7 days respectively. The essays are very difficult but she gives extra credit up to 7.5 percent. I recommend this class to people who can do the readings and attend classes regularly.
Monica L Smith,NA,Archaeology of South Asia,ANTHRO 116,N/A," I have taken three courses with Professor Smith now (Anthro 8, 116, and 119P) and I completely adore her. She is one of the most excellent and interesting professors in Anthro that won't blow your brain up with readings that, frankly, have no clout in the class except for the professor finding them ""interesting"". She is a real life archaeologist in South Asia and often uses her own work as an example for the class. My advice for students thinking about enrolling in any class Professor Smith offers is GO FOR IT!!! She is exciting, funny and gave me the rare will *trust me I usually do not have time to * to go to her office hours. Okay, well enough of oozing my love for her all over Bruinwalk---class breakdown Anthro 8: I took this bad boy a while ago, it is not hard to get an A in this class from what I can remember...just know the sites presented...and attend lecture Anthro 116/119P: Smith is so knowledgeable on these two topics. Once again, if you attend lecture and DO THE READINGS these should not be bad at all. In addition, make sure you do know details to add to written statements such as essays...they really help to boost the paper overall Good Luck!"
Monica L Smith,NA,Archaeology of South Asia,ANTHRO 116,N/A," South Asian archaeology is her area of specialty and it definitely shows through in this class.  Her lectures are full of interesting facts about ancient India.  Pay attention to everything, because most of the material for the tests come from her lectures, though you'll find a few questions that can only be found in the text.  Her tests are tough, but not impossible and consist of multiple choice, short answer, and essay questions that force you to really show your knowledge.  She's more than happy to help her students with any questions, even adjusting her office hours to work with various students schedules before the test. Overall she's a great speaker, enthusiastic about the class, and always willing to expand on ideas in class. Not an easy A, but you'll find the class interesting and fun!"
Allen W. Johnson,NA,Latin American Communities,ANTHRO 161,N/A,"Johnson is a nice guy.  His class is boring, but easy.  He tells you exactly what to know for the essays on the exams, and it is pretty obvious what multiple choice questions he is going to ask.  The reading was mediocre, but I think you can get buy without doing a lot of it."
Allen W. Johnson,NA,Evolution of Human Societies,ANTHRO 1530,N/A," This class is extremely dull and his voice will put you to sleep.  The case studies...oh my, they're long and ramble on and on.  The text (written by Johnson) is hard to comprehend and will also put you to sleep. He is really pick about the format of the essays on the midterms and finals.  The multiple choice is also tricky.  Be careful. Honestly, I wouldn't recommend this class.  He's probably a nice man but an ineffective professor."
Jennifer Rashidi,NA,Paleopathology,ANTHRO 126P,A,"I took this class summer 2022 for session c6. The first week, I thought I was going to have to drop the course because how information heavy it is initially. If you're not familiar with biology its a lot to digest in 6-weeks, I am familiar with a little but with my busy summer schedule I was spreading myself thin at times. To my surprise, the midterm was very easy as long as you used to textbook. Thankfully, the textbook itself isn't dense and cuts straight to the point for topics. I didn't take the final so I can't speak on that, she was VERY accommodating for my situation and I wasn't expecting that at all. The final research paper I got a ""C"" on only because I had written it on a topic that wasn't considered a paleopathological topic- which I wish she specified more in class what counts and didn't count because I didn't know until after my paper had been graded. Other than that, the class was interesting. I honestly would not take it again but I think she's offering workshops for fall since her summer courses were offered only online."
Jennifer Rashidi,NA,Paleopathology,ANTHRO 126P,N/A,Hello! I am selling the book for Paleopathology. text me at 8183196901.
Jennifer Rashidi,NA,Paleopathology,ANTHRO 126P,F,"I took this in Summer C 2021. I got a Pass but based on the grades I got I would've received an A-. Dr. Rashidi is amazing and this class is super interesting. However, it is a lot of work especially if you're not well versed in biology. Also she isn't the best at responding to emails, and often took a while to upload lectures. But her teaching style was very clear and you got all the information you need from lectures. There was a final research project that wasn't tough (I got 40/40), and the exams were open book open note (except for the practical portion which was in class with cameras on and closed note/book) so it wasn't difficult to do well. Highly recommend her and this class!"
Jennifer Rashidi,NA,Paleopathology,ANTHRO 126P,A,"If you don't mind lectures slides that haven't been updated since 2003, then this class is for you. Professor Rashidi doesn't allow electronics in her class so all notes must be taken pen / paper - what makes this class a little annoying is that the professor talks at about 500 words / minute. On the flip side, there isn't much that is covered in class for each topic so their is only so much that can be on the exam. This quarter she decided to post a study guide, and to her surprise it was the best tests grades she's ever had as a class... mmm. There is a research paper that one must write, it expands on a topic covered in class. To be honest, this class wasn't as difficult as she made it out to seem, her study guide states that one must commit to a solid of 8 hours of studying / week to do well in her class but much less is needed, maybe a solid 2 hours / week."
Jennifer Rashidi,NA,Paleopathology,ANTHRO 126P,A," I loved this class so much, and a year and a half later I still remember so much from it and it stands out as one of my favorites. Professor Rashidi is definitely a tough professor and this is definitely a college-level course. There is a ton of memorization involved and you really have to pay attention and be engaged with the lectures and review the slides. However, the content is so interesting and Professor Rashidi also helps make it interesting. I had no trouble coming up with a paper topic and I had so much fun writing it (I know that sounds so lame but honestly I usually hate writing papers but this one was so enjoyable).  tl;dr: it’s a difficult course and you have to put in the work and study and come to class, the material is so interesting and rewarding to study that it’s still been one of my favorite classes at UCLA."
Jennifer Rashidi,NA,Paleopathology,ANTHRO 126P,A-,"Getting an A on the first try is doable, but you have to put in the work!"
Jennifer Rashidi,NA,Paleopathology,ANTHRO 126P,A+," I think it’s a great class, and Dr. Rashidi is incredibly knowledgeable. She’s very engaging, but don’t expect her to handhold you throughout the course. The slides are not always clear, and she’s a fast talker. But if you supplement lecture notes with the book, you’ll be fine.  Electronics are not allowed in her class, which I think is great. She doesn’t  always come across as the most organized. At the end of the quarter we had to hand in a 8-10 page research paper- you have to come up with your own topic and it must be related to class. I definitely enjoyed her class, and would recommend her- unless you don’t like to put in the work."
Jennifer Rashidi,NA,Paleopathology,ANTHRO 126P,C+,"The first time I took this class I failed, and not because I didn't try but because there was just so much information that I could not remember it all. Her midterm is composed of multiple choice questions, definition fill-ins, and about 3-5 short essay questions and one big essay questions. The final is cumulative but it weighs mostly on the latter half of the course.  The material she teaches is wonderful and engaging. But it is the way she teaches that makes this course so hard. She uses powerpoints which are helpful for visuals, but what she says takes precedence over the powerpoints. Meaning, not all the information you need will be on those powerpoints so attending lecture is crucial for passing this class. Also, she is a very fast talker and goes through all the material quickly.  She does not bruin cast her lectures and she allows no recordings nor laptops in class and this makes it quite difficult to get down all the concepts and major factors when she speaks 1000 words a minute. She requires a book that is quite costly, but honestly, I never read it and it wasn't needed for testing, so don't spend your money.  You are required to know anatomical terminology and will be asked to conduct a research paper which is not hard if you chose a topic discussed in class. As a professor, she is very responsive, and she does try her best to give you pointers on how to succeed in her class. She also gives extra credit which is a bonus.  If you take this class, consider building up a study group within the class, take GOOD notes,  attend all lectures, and read the dumb article that she posts."
Jennifer Rashidi,NA,Evolution of Genus Homo,ANTHRO 126Q,F,"I took this class online due to the pandemic. The workload is fairly high and the material is pretty dense. Homeworks were usually a 2 page (Double space) write up of a subject using one or two peer reviewed articles. There was a 5-7 page research paper on a topic of your choosing that was actually pretty engaging. Midterm and final were short answer, short essay, and an essay. Open resources. Communication via email was poor. Grading was reasonable, not nit picky. Overall a fun class but necessarily an easy A."
Jennifer Rashidi,NA,Evolution of Genus Homo,ANTHRO 126Q,C+,"Rashidi is the worst professor ever. I would never ever recommend this class to someone. It is unfortunate because the material is super interesting. She goes through a lot of material very quickly and does not explain her slides very well. The class is paper only and she does not allow laptops for note taking, but honestly her lectures are not much supplement to the slides. She expects you to remember every little detail for her exams and she does not even give a study guide. She also is not very responsive to emails, I emailed her three times in the quarter and never got a response back. She seems to have a lot of going on in her personal life and even cancelled a week's worth of class, which meant that she went through the material really fast so it could be on the final still.  Her grading for the exams are not consistent and she was not clear about what exactly she was looking for. Some people were not docked down for only putting one word answers, while others were. She also assigns a lot of reading on top of the class lectures slides. It is like she expects people to be a paleopathologist. I would never take a class with her again."
Jennifer Rashidi,NA,Selected Topics in Biological Anthropology: Forensic Anthropology,ANTHRO 129,B,"Super chill professor, midterm and final are very straight-forward. Lots of memorization required involving anatomical locations, bones, and things of that matter. My TA was extremely helpful and discussion/labs are required but are only an hour every week. I did little to no reviewing prior to exams and did ok. If I did review, I honestly could've achieved an A."
Jennifer Rashidi,NA,Selected Topics in Biological Anthropology: Forensic Anthropology,ANTHRO 129,B+,"Even though going into this class there's a lot of memorization and a slightly heavy workload, if you find the course content interesting enough then you should be just fine. Personally I went into this class not knowing how much I'd enjoy it, but I was pleasantly surprised by how engaging it was. If you're a kinesthetic learner then the in-person discussion sections are perfect for you as you get to handle real human bones and other related course materials. Rashidi and my TA were EXTREMELY helpful and held office hours often. The only thing I'd say to watch out for is the difficult nature of the exams considering they're graded pretty meticulously, as well as the amount of studying you have to put in to actually do well enough on them, but even considering that I would definitely take this course again :)."
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,D,This class is so hard i swear to god. If you do not like reading 2 books a week and having to memorize obscure sculptures from every single powerpoint from each lecture which is monday wednesday Friday every single week in addition to discussion this class is not for you. I found this out the hard way and I do not understand how reviews are this positive. I mean he is an all right guy but this is the only class at UCLA I have ever failed and this is a GE. Do not think this class will be easy!!!!!!! I cannot stress this enough.
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,A,"Great lecturer, all around awesome professor. The tests do require a lot of memorizing but not intense information just being able to recognize pictures and a few facts on them.  I am selling all of the required reading books and also the course reader, if interested email me at Gisellemartinez@me.com"
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,B-,"The only time I spent in this guy's office was when he disturbingly and wrongly accused me of cheating on his final exam.  True story, I hope it dissuades some students from this 'great' teacher .  Papadopoulos wrongly accused me of cheating on his final, because out of a class of 350 I was the most look-alike to the perpetrator,  who had allegedly posted a notice on facebook asking for someone's answers during the final.  So I recieved an 'IP' in the grade book and after two weeks, I finally emailed him and he invited me to his office.  He proceeded to look me straight in the eyes and tell me I've cheated on his exam, and I've been caught.  He pulled up printed pictures of my facebook profile and compared it to a blurry image of the cheater.  So he had searched the facebook profile pictures of all 350 students and singled out the one that looked most similar, and with a smirk on his face he showed me the comparison and forced me to log on to my facebook to confirm that it was my profile picture.  Later on I had the Dean of Students came to me and apologizing for his actions, but I never heard a word from this little guy.  So a fair warning to all, don't look like someone else or a bigoted, discriminatory little guy might mistake you for a cheater."
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,A,Took classics 10. Awesome professor and super easy class! Selling all the books required for the class and course reader for 20 bucks. Text me 3109624479
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,A+,"The professor is extremely passionate about Greek culture and history. He has a storyteller voice and lectures a great time for explaining the main ideas. The number of books may seem a bit intimidating, but most are just excerpts of certain chapters. He is straightforward and really wants you to succeed. For our first midterm, he gave us the list of prompts for our short answer section and they were identical on the actual midterm. For the second midterm, he lists specific passages and readings you need to do, but if you have done them at least once, and know the date and author, they're not tricky! On the final, he gave us 5% free! (If you turn in a blank test, you still get 5%!) Many students may complain about the study images but its only about 50 you will need to go over per exam, hence not cumulative. Good luck! I definitely recommend it."
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,B,"This class was honestly one of the hardest classes I've taken at UCLA. The professor is the head of the archaeology department, so all he cared about was pots. We had to memorize over 100 different pictures of random pots, their dates, who made them, what society they were made in, and what gods were depicted on them for the final. That was along with over 10 pages of vocab. This class is rote memorization and brought down my GPA."
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A," This class sucked. You don't have to go to any of the lectures and you could get an A in the class as long as you do well on the midterms and finals and attend discussion. The lectures are all posted online but the midterms have basically NOTHING to do with what he talks about in lectures.  The midterms consists of memorizing ""study images,"" which is just a slide with a picture on it and a crap load of information like the dates, where it was found etc. There are 172 study images in total and he only picks 10 to be on the midterms and 15 to be on the final...and they're barely mentioned at all in lecture. The readings and the discussions were okay but this class is just pure, pointless, difficult memorization and if you're good at that and remembering excerpts from LONG readings then you're golden. I seriously regret taking this class, barely any people showed up to lecture and I would never recommend this class to anyone."
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,B+,"Concise, knowledgeable, energetic and engaging, knows how to teach and convey class material well."
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A,"Great professor, and pretty straight-forward class. Lots of reading, but not necessarily all required. Selling textbooks for a cheap price, email me at johnjpl110@gmail.com."
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A,Took classics 10. Awesome professor and super easy class! Selling all the books required for the class and course reader. Text me 3109624479
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A,Took classics 10. Awesome professor and super easy class! Selling all the books required for the class and course reader.
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A," I learned so much about the Greeks in this class! I took it as a GE and feel that I was presented with information I would remember in the long run, not just info that would be quickly regurgitated on a test and forgotten. The tests can be hard if you don't study since you have to remember time and dates of Greek art but the reading was enjoyable and discussion sections were fun. There is an essay and who you get as a TA will really affect how you do in the class because some TAs were very harsh graders. But as a whole they are very fair and want their students to succeed. Participate in discussions! "
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A,"Selling Classics 10 course reader and ""These Were The Greeks""!!!If interested, email me: wzylillian@Gmail.com"
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A," Dr. Papadopoulos has the greatest personality. He is extremely generous, kind, sweet, etc. All good adjectives would fit him. However, memorizing slides was pointless. Essays were given grades leniently. Two midterms and final will be okay as long as you spend about two enough days to memorize the slides. Also, you don't need to read books so don't waste money on them except probably Odyssey. Other books, you must read sparknotes in order to participate in discussion sessions and do well on the midterms and finals.  I hope more people can go to the lectures though. Dr. Papadopoulos is the nicest professor I've ever seen. "
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A," First off, I'm a south campus premed major. Taking Classics 10 is great for two reasons, 1. There's cute north campus girls2. This entire class is basically rote memorization with less than 100 pages of reading per quarter! Read the These Were the Greeks book, write your essay on Plato's Apology(~50 pages of dialogue AT MOST) and you're golden. I pulled a B+ with studying the night before the midterms (69, 89) and then the final (91). It's doable but not entirely fun. "
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A,"If you want to get screwed over on BOTH the first midterm AND first essay because of vague explanations and expectation then by all means take his class. I was expecting an easy GE when I enrolled. Boy was I wrong…a large portion of the exams is pure, pointless, memorization. Why does it matter if I don’t know when Plato died, for example? In the end, this class was more than I bargained for. I did not do badly in the course, but I worked a lot harder for this class than I expected to and to my dismay, the class was not curved. This review and the other three (mostly the two shorter reviews) below pretty much represent the opinions of the 300+ students in the class.Overall, I do not recommend taking this class, at least not with this teacher."
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A,"I came in thinking it would be an easy GE, since basically all you had to do is memorize slides, it wasnt exactly as I expected. You may think memorizing the slides before the exams is a walk in the park, but the dates throw people off. You must know every single date, not even exaggerating. You must know every single detail on the slide, and must things that arent even on them (such as lecture powerpoint information/general knowledge of the images noted in the terms in the course reader). If you do all those, you're a great candidate for an A. Many chances for extra grades on tests as well, you like going above and beyond. The professor will basically outline the topics on the exam for you. Not very stressful at all. The final was simply a matter of whether you knew all the terms, slides, and readings."
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A,"Papadopoulos is a great guy, but in my opinion, he made the class waay too hard and too much work for a GE. Being a south campus major, I'm not used to having to do essays in addition to midterms and finals. Also the slide memorization aspect was a complete waste of time. We had to memorize names of vessels and statues and DATES (which absolutely killed me). The final was ridiculously hard and he tested us on way too many greek terms. Needless to say, I do NOT have a background in ancient greek and bombed that part of the exam. "
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A,Do not take this class unless you are willing to put in 40+ hours of work for two papers and two midterms plus a final all for a ge that is way more time consuming than it needs to be. Strongly recommend taking a different class.
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A,"Selling ""There were the Greeks"" for Classics 10 with him!! contact me at 909 438 0213 if interested!"
John Papadopoulos,NA,Discovering Greeks,CLASSIC 10,N/A,"he integrated the lecture pretty well, lots of possible extra credit, as long as you do the reading, u dont realli need to go to lecture; he was sporadically funny=) which was cool. he tries to give lots of hints during slide exams; take this class for an easy g.e.! as long as you put in a few hrs before exams and kinda keep up with the reading, it shouldnt be hard to get an A~"
John Papadopoulos,NA,Art and Archaeology of Ancient Greece,CLASSIC 51A,N/A,This is the worst GE I've ever taken. The lectures were boring and the exam was based on pure memorization.
John Papadopoulos,NA,Art and Archaeology of Ancient Greece,CLASSIC 51A,B,"I feel terrible for saying this, but good lord is this class boring. I had 100% interest and investment when it began, and it so quickly faded just one week in. You will not do well if you're not great at memorization/slide ID's. I wish the professor would rework the class so the students would have a chance to engage with the material rather than blindly memorize and later forget it."
John Papadopoulos,NA,Art and Archaeology of Ancient Greece,CLASSIC 51A,A,"I took this class when they were offering a hybrid format so I never went to the real lectures and would skim through the ones posted online when they were relevant to the paper assignments. The lectures are pretty boring and long. This class has 3 assignments, each worth 30% and the remaining 10% comes from participation in discussion. I spoke a handful of times in discussion and answered using the Zoom chat function a couple of times and got a 95% for my participation grade. The lectures themselves really aren't that relevant to the papers so most people didn't show up for class. Overall, a great GPA booster but the content itself isn't that interesting."
